x,y,z
2,2,7
2,3,3
2,3,8
2,4,3
2,7,10
2,9,5
2,11,3
2,11,13
2,12,3
2,12,13
3,3,3
3,3,8
3,11,13
3,12,3
3,12,13
4,3,4
4,3,8
4,4,8
4,5,14
4,6,3
4,6,4
4,8,7
4,9,5
4,9,12
4,10,12
4,11,13
4,12,3
4,12,13
5,2,6
5,2,7
5,3,4
5,3,8
5,5,13
5,5,14
5,6,3
5,6,4
5,8,5
5,8,7
5,9,5
5,9,12
5,10,12
5,11,12
5,11,13
5,12,3
6,2,4
6,2,7
6,3,4
6,3,7
6,3,8
6,4,7
6,5,13
6,8,5
6,9,12
6,10,12
6,11,4
6,11,12
6,11,13
6,12,3
7,3,4
7,3,6
7,4,7
7,5,12
7,8,5
7,9,10
7,9,13
7,10,11
7,10,12
7,11,4
7,11,12
7,11,13
7,12,2
7,12,4
8,2,8
8,3,4
8,3,6
8,3,8
8,3,9
8,4,6
8,4,7
8,4,9
8,5,12
8,6,12
8,8,5
8,8,7
8,9,13
8,10,10
8,10,11
8,10,12
8,11,3
8,11,4
8,11,12
8,12,2
9,2,7
9,2,8
9,3,6
9,3,7
9,3,8
9,4,4
9,4,7
9,5,4
9,6,13
9,8,7
9,9,13
9,10,10
9,10,11
9,10,12
9,11,11
9,11,12
10,2,6
10,2,7
10,3,6
10,4,7
10,5,3
10,5,4
10,6,3
10,6,4
10,7,3
10,8,8
10,8,9
10,11,11
10,11,12
10,11,13
10,12,5
10,12,6
11,5,3
11,5,7
11,5,8
11,5,9
11,6,3
11,6,5
11,7,3
11,7,8
11,8,8
11,9,8
11,11,3
11,11,13
11,12,6
12,2,7
12,2,9
12,4,9
12,5,7
12,5,8
12,5,9
12,6,5
12,6,8
12,6,13
12,7,8
12,9,8
12,11,1
12,11,2
12,11,4
12,11,6
12,13,9
12,13,10
13,2,11
13,5,6
13,5,7
13,5,8
13,5,10
13,10,7
13,10,8
13,11,4
13,12,4
13,14,3
13,14,4
14,3,14
14,4,9
14,4,10
14,4,11
14,5,7
14,5,8
14,5,10
14,5,11
14,5,12
14,6,7
14,7,3
14,10,3
14,10,7
14,10,8
14,11,4
14,14,4
14,14,10
14,14,11
